Date,Open,High,Low,Close,Adj Close,Volume
1/2/1962,7.374124,7.374124,7.291268,7.291268,1.526556,407940
1/3/1962,7.291268,7.355003,7.291268,7.355003,1.5399,305955
1/4/1962,7.355003,7.355003,7.278521,7.281708,1.524555,274575
1/5/1962,7.272148,7.272148,7.125558,7.138305,1.494532,384405
1/8/1962,7.131931,7.131931,6.9471,7.004461,1.466509,572685
1/9/1962,7.036329,7.176546,7.036329,7.087317,1.483856,517770
1/10/1962,7.100064,7.131931,7.100064,7.100064,1.486523,313800
1/11/1962,7.119184,7.176546,7.119184,7.176546,1.502537,337335
1/12/1962,7.189293,7.24028,7.189293,7.189293,1.505206,462855
1/15/1962,7.214786,7.237094,7.214786,7.22116,1.511879,266730
1/16/1962,7.214786,7.214786,7.144678,7.144678,1.495865,266730
1/17/1962,7.112811,7.112811,7.010835,7.029955,1.471846,439320
1/18/1962,7.049076,7.119184,7.049076,7.049076,1.47585,392250
1/19/1962,7.049076,7.068196,6.972594,7.055449,1.477184,423630
1/22/1962,7.055449,7.125558,7.036329,7.042702,1.474515,290265
1/23/1962,7.039516,7.049076,6.959847,6.972594,1.459836,392250
1/24/1962,6.972594,7.010835,6.93754,7.010835,1.467843,431475
1/25/1962,7.010835,7.068196,6.921606,6.934353,1.45183,337335
1/26/1962,6.934353,6.959847,6.896112,6.899299,1.444491,258885
1/29/1962,6.899299,6.9471,6.781389,6.781389,1.419804,611910
1/30/1962,6.781389,6.81963,6.695347,6.695347,1.40179,776655
1/31/1962,6.762269,6.908859,6.762269,6.908859,1.446492,800190
2/1/1962,6.978967,7.087317,6.978967,7.068196,1.479853,674670
2/2/1962,7.068196,7.112811,7.036329,7.112811,1.489194,533460
2/5/1962,7.112811,7.112811,6.985341,7.023582,1.470511,329490
2/6/1962,7.023582,7.036329,6.998088,7.029955,1.472046,274575
2/7/1962,7.036329,7.07457,7.036329,7.036329,1.47338,266730
2/8/1962,7.036329,7.07457,7.036329,7.042702,1.474716,23535
2/9/1962,7.042702,7.09369,7.010835,7.09369,1.485393,455010
2/12/1962,7.09369,7.151052,7.087317,7.100064,1.486727,298110
2/13/1962,7.100064,7.106437,6.985341,6.985341,1.462704,274575
2/14/1962,6.985341,7.010835,6.959847,6.972594,1.460035,219660
2/15/1962,6.972594,6.972594,6.940727,6.9471,1.454698,243195
2/16/1962,6.9471,6.972594,6.940727,6.940727,1.453363,235350
2/19/1962,6.940727,6.972594,6.857871,6.870618,1.438682,298110
2/20/1962,6.873805,6.908859,6.873805,6.873805,1.439349,305955
2/21/1962,6.873805,6.921606,6.822817,6.822817,1.428673,384405
2/23/1962,6.832377,6.857871,6.832377,6.845124,1.433343,305955
2/26/1962,6.845124,6.851498,6.806883,6.81963,1.428006,313800
2/27/1962,6.81963,6.876992,6.781389,6.832377,1.430674,368715
2/28/1962,6.832377,6.845124,6.794136,6.845124,1.433343,282420
3/1/1962,6.870618,6.92798,6.870618,6.92798,1.450692,298110
3/2/1962,6.985341,7.023582,6.985341,6.985341,1.462704,258885
3/5/1962,6.985341,6.985341,6.934353,6.959847,1.457366,376560
3/6/1962,6.959847,6.991714,6.9471,6.966221,1.458701,196125
3/7/1962,6.966221,6.988528,6.9471,6.988528,1.463372,133365
3/8/1962,6.988528,7.004461,6.9471,7.004461,1.466708,196125
3/9/1962,7.010835,7.049076,7.010835,7.049076,1.47605,305955
3/12/1962,7.049076,7.068196,7.023582,7.042702,1.474716,298110
3/13/1962,7.042702,7.042702,7.010835,7.036329,1.47338,133365
3/14/1962,7.036329,7.055449,7.010835,7.023582,1.47071,211815
3/15/1962,7.023582,7.061823,7.010835,7.010835,1.468043,258885
3/16/1962,7.010835,7.042702,7.010835,7.042702,1.474716,172590
3/19/1962,7.055449,7.087317,7.055449,7.061823,1.47872,392250
3/20/1962,7.049076,7.049076,7.017208,7.017208,1.469379,172590
3/21/1962,7.017208,7.036329,6.998088,7.023582,1.47071,274575
