Random Seed,NSamples,Event,Shapley Value,t (event index),Entity,Tolerance
42,32000,Event -1,0.04525735966871389,0,cycling_1,0.05
42,32000,Event -2,0.04203503573980635,-1,cycling_1,0.05
42,32000,Event -3,0.01423101251435685,-2,cycling_1,0.05
42,32000,Event -4,0.007199555858636075,-3,cycling_1,0.05
42,32000,Event -5,0.037882631914758935,-4,cycling_1,0.05
42,32000,Event -6,0.01971652850361827,-5,cycling_1,0.05
42,32000,Event -7,0.028945088528958385,-6,cycling_1,0.05
42,32000,Event -8,0.029020439152934396,-7,cycling_1,0.05
42,32000,Event -9,0.014239748702226607,-8,cycling_1,0.05
42,32000,Event -10,0.013837038271179325,-9,cycling_1,0.05
42,32000,Event -11,0.031922746538196434,-10,cycling_1,0.05
42,32000,Event -12,0.005809264642789191,-11,cycling_1,0.05
42,32000,Event -13,0.013815341883711196,-12,cycling_1,0.05
42,32000,Event -14,0.014323754469613148,-13,cycling_1,0.05
42,32000,Event -15,0.01427815225524992,-14,cycling_1,0.05
42,32000,Event -16,0.011691670409317872,-15,cycling_1,0.05
42,32000,Event -17,0.007355876390694516,-16,cycling_1,0.05
42,32000,Event -18,0.005766765068303037,-17,cycling_1,0.05
42,32000,Event -19,0.008855494197980013,-18,cycling_1,0.05
42,32000,Event -20,0.012429515132578534,-19,cycling_1,0.05
42,32000,Pruned Events,0.06403454158730815,1,cycling_1,0.05
42,32000,Event -1,0.04455231915841651,0,cycling_1,0.075
42,32000,Event -2,0.042163749978503945,-1,cycling_1,0.075
42,32000,Event -3,0.014509471707662036,-2,cycling_1,0.075
42,32000,Event -4,0.007253702199340295,-3,cycling_1,0.075
42,32000,Event -5,0.03823808460050554,-4,cycling_1,0.075
42,32000,Event -6,0.019862838393372384,-5,cycling_1,0.075
42,32000,Event -7,0.028795397892274727,-6,cycling_1,0.075
42,32000,Event -8,0.02876104470529728,-7,cycling_1,0.075
42,32000,Event -9,0.014480814923082619,-8,cycling_1,0.075
42,32000,Event -10,0.013865732861659957,-9,cycling_1,0.075
42,32000,Event -11,0.031704653600155674,-10,cycling_1,0.075
42,32000,Event -12,0.005358123753884003,-11,cycling_1,0.075
42,32000,Event -13,0.01421688732006851,-12,cycling_1,0.075
42,32000,Event -14,0.014089215773678526,-13,cycling_1,0.075
42,32000,Event -15,0.014397213088592542,-14,cycling_1,0.075
42,32000,Event -16,0.011060556025993928,-15,cycling_1,0.075
