Coalition,t (event index),Shapley Value,Entity
Sum of contribution of events > t,0,1.4901161193847656e-08,cycling_1
Sum of contribution of events ≤ t,0,0.4426475465297699,cycling_1
Sum of contribution of events > t,-1,0.02796313166618347,cycling_1
Sum of contribution of events ≤ t,-1,0.4146844297647476,cycling_1
Sum of contribution of events > t,-2,0.061318330466747284,cycling_1
Sum of contribution of events ≤ t,-2,0.3813292309641838,cycling_1
Sum of contribution of events > t,-3,0.07695791870355606,cycling_1
Sum of contribution of events ≤ t,-3,0.36568964272737503,cycling_1
Sum of contribution of events > t,-4,0.08374951034784317,cycling_1
Sum of contribution of events ≤ t,-4,0.3588980510830879,cycling_1
Sum of contribution of events > t,-5,0.1221601590514183,cycling_1
Sum of contribution of events ≤ t,-5,0.3204874023795128,cycling_1
Sum of contribution of events > t,-6,0.14833850413560867,cycling_1
Sum of contribution of events ≤ t,-6,0.2943090572953224,cycling_1
Sum of contribution of events > t,-7,0.1924092397093773,cycling_1
Sum of contribution of events ≤ t,-7,0.2502383217215538,cycling_1
Sum of contribution of events > t,-8,0.2363065853714943,cycling_1
Sum of contribution of events ≤ t,-8,0.2063409760594368,cycling_1
Sum of contribution of events > t,-9,0.2560730054974556,cycling_1
Sum of contribution of events ≤ t,-9,0.1865745559334755,cycling_1
Sum of contribution of events > t,-10,0.27568892389535904,cycling_1
Sum of contribution of events ≤ t,-10,0.16695863753557205,cycling_1
Sum of contribution of events > t,-11,0.3171132579445839,cycling_1
Sum of contribution of events ≤ t,-11,0.1255343034863472,cycling_1
Sum of contribution of events > t,-12,0.32261214405298233,cycling_1
Sum of contribution of events ≤ t,-12,0.12003541737794876,cycling_1
Sum of contribution of events > t,-13,0.33616096526384354,cycling_1
Sum of contribution of events ≤ t,-13,0.10648659616708755,cycling_1
Sum of contribution of events > t,-14,0.34971626847982407,cycling_1
Sum of contribution of events ≤ t,-14,0.09293129295110703,cycling_1
Sum of contribution of events > t,-15,0.3630871996283531,cycling_1
Sum of contribution of events ≤ t,-15,0.07956036180257797,cycling_1
Sum of contribution of events > t,-16,0.37261948734521866,cycling_1
Sum of contribution of events ≤ t,-16,0.07002807408571243,cycling_1
Sum of contribution of events > t,-17,0.3785526677966118,cycling_1
Sum of contribution of events ≤ t,-17,0.0640948936343193,cycling_1
Sum of contribution of events > t,-18,0.3828719034790993,cycling_1
Sum of contribution of events ≤ t,-18,0.05977565795183182,cycling_1
Sum of contribution of events > t,-19,0.389608196914196,cycling_1
Sum of contribution of events ≤ t,-19,0.05303936451673508,cycling_1
Sum of contribution of events > t,-20,0.39800893515348434,cycling_1
Sum of contribution of events ≤ t,-20,0.04463862627744675,cycling_1
Sum of contribution of events > t,-21,0.40276119112968445,cycling_1
Sum of contribution of events ≤ t,-21,0.03988637030124664,cycling_1
Sum of contribution of events > t,-22,0.4061218425631523,cycling_1
Sum of contribution of events ≤ t,-22,0.03652571886777878,cycling_1
Sum of contribution of events > t,-23,0.4091835096478462,cycling_1
Sum of contribution of events ≤ t,-23,0.03346405178308487,cycling_1
Sum of contribution of events > t,-24,0.41042499244213104,cycling_1
Sum of contribution of events ≤ t,-24,0.03222256898880005,cycling_1
Sum of contribution of events > t,-25,0.41341906785964966,cycling_1
Sum of contribution of events ≤ t,-25,0.029228493571281433,cycling_1
Sum of contribution of events > t,-26,0.41699786484241486,cycling_1
Sum of contribution of events ≤ t,-26,0.025649696588516235,cycling_1
Sum of contribution of events > t,-27,0.4194810464978218,cycling_1
Sum of contribution of events ≤ t,-27,0.023166514933109283,cycling_1
Sum of contribution of events > t,-28,0.421855129301548,cycling_1
Sum of contribution of events ≤ t,-28,0.020792432129383087,cycling_1
Sum of contribution of events > t,-29,0.42368583381175995,cycling_1
Sum of contribution of events ≤ t,-29,0.018961727619171143,cycling_1
Sum of contribution of events > t,-30,0.4242103844881058,cycling_1
Sum of contribution of events ≤ t,-30,0.018437176942825317,cycling_1
Sum of contribution of events > t,-31,0.42576994746923447,cycling_1
Sum of contribution of events ≤ t,-31,0.016877613961696625,cycling_1
Sum of contribution of events > t,-32,0.427741177380085,cycling_1
Sum of contribution of events ≤ t,-32,0.0149063840508461,cycling_1
Sum of contribution of events > t,-33,0.4293255880475044,cycling_1
Sum of contribution of events ≤ t,-33,0.013321973383426666,cycling_1
Sum of contribution of events > t,-34,0.4308600053191185,cycling_1
Sum of contribution of events ≤ t,-34,0.011787556111812592,cycling_1
Sum of contribution of events > t,-35,0.4322158768773079,cycling_1
Sum of contribution of events ≤ t,-35,0.0104316845536232,cycling_1
Sum of contribution of events > t,-36,0.43294982612133026,cycling_1
Sum of contribution of events ≤ t,-36,0.00969773530960083,cycling_1
Sum of contribution of events > t,-37,0.43374014645814896,cycling_1
Sum of contribution of events ≤ t,-37,0.008907414972782135,cycling_1
Sum of contribution of events > t,-38,0.434944748878479,cycling_1
Sum of contribution of events ≤ t,-38,0.007702812552452087,cycling_1
Sum of contribution of events > t,-39,0.43531136959791183,cycling_1
Sum of contribution of events ≤ t,-39,0.007336191833019257,cycling_1
Sum of contribution of events > t,-40,0.43614740669727325,cycling_1
Sum of contribution of events ≤ t,-40,0.006500154733657837,cycling_1
Sum of contribution of events > t,-41,0.436491996049881,cycling_1
Sum of contribution of events ≤ t,-41,0.00615556538105011,cycling_1
Sum of contribution of events > t,-42,0.43679411709308624,cycling_1
Sum of contribution of events ≤ t,-42,0.005853444337844849,cycling_1
Sum of contribution of events > t,-43,0.43715085089206696,cycling_1
Sum of contribution of events ≤ t,-43,0.005496710538864136,cycling_1
Sum of contribution of events > t,-44,0.437753327190876,cycling_1
Sum of contribution of events ≤ t,-44,0.004894234240055084,cycling_1
Sum of contribution of events > t,-45,0.43814629316329956,cycling_1
Sum of contribution of events ≤ t,-45,0.004501268267631531,cycling_1
Sum of contribution of events > t,-46,0.43840374052524567,cycling_1
Sum of contribution of events ≤ t,-46,0.004243820905685425,cycling_1
Sum of contribution of events > t,-47,0.43874944001436234,cycling_1
Sum of contribution of events ≤ t,-47,0.003898121416568756,cycling_1
Sum of contribution of events > t,-48,0.43906740099191666,cycling_1
Sum of contribution of events ≤ t,-48,0.003580160439014435,cycling_1
